Based on a simulation splitted into 64 batches and with 95.00% confidence;

NODE 1;mean;;interval;
avg interarrival;0.527084;+/-;0.001160;
avg wait;10.713076;+/-;0.727249;
avg delay;8.713345;+/-;0.724623;
avg service;1.999710;+/-;0.004649;
avg # in node;20.371434;+/-;1.389638;
avg # in queue;16.569862;+/-;1.383696;
avg utilizzation;0.950383;+/-;0.002330;
ploss;0.0000%;+/-;0.0000%;

NODE 2;mean;;interval;
avg interarrival;0.849705;+/-;0.002306;
avg wait;15.072952;+/-;1.023500;
avg delay;11.867771;+/-;1.018367;
avg service;3.205151;+/-;0.008332;
avg # in node;17.791919;+/-;1.225140;
avg # in queue;14.012061;+/-;1.215717;
avg utilizzation;0.944956;+/-;0.003072;
ploss;0.0000%;+/-;0.0000%;

NODE 3;mean;;interval;
avg interarrival;1.323486;+/-;0.004526;
avg wait;22.080547;+/-;2.268220;
avg delay;19.581066;+/-;2.263099;
avg service;2.499467;+/-;0.008771;
avg # in node;16.751419;+/-;1.746841;
avg # in queue;14.858862;+/-;1.740610;
avg utilizzation;0.946273;+/-;0.004260;
ploss;0.0000%;+/-;0.0000%;

NODE 4;mean;;interval;
avg interarrival;0.650662;+/-;0.001806;
avg wait;5.660266;+/-;0.021918;
avg delay;4.361712;+/-;0.018363;
avg service;1.298552;+/-;0.003688;
avg # in node;8.716019;+/-;0.013919;
avg # in queue;6.716307;+/-;0.011594;
avg utilizzation;0.999855;+/-;0.001836;
ploss;42.9553%;+/-;0.1934%;

Average max response time:; 53.5268;+/-;2.6678;
