Based on a simulation splitted into 64 batches and with 95.00% confidence;

NODE 1;mean;;interval;
avg interarrival;0.526896;+/-;0.005398;
avg wait;2.794548;+/-;0.121612;
avg delay;0.791424;+/-;0.109916;
avg service;2.002745;+/-;0.020380;
avg # in node;5.308439;+/-;0.238816;
avg # in queue;1.506199;+/-;0.211331;
avg utilizzation;0.760310;+/-;0.008587;
ploss;0.0000%;+/-;0.0000%;

NODE 2;mean;;interval;
avg interarrival;0.847318;+/-;0.011624;
avg wait;3.509001;+/-;0.072206;
avg delay;0.323662;+/-;0.047803;
avg service;3.185117;+/-;0.037818;
avg # in node;4.148232;+/-;0.099895;
avg # in queue;0.384197;+/-;0.057833;
avg utilizzation;0.627300;+/-;0.009744;
ploss;0.0000%;+/-;0.0000%;

NODE 3;mean;;interval;
avg interarrival;1.324998;+/-;0.022620;
avg wait;3.385267;+/-;0.159745;
avg delay;0.899245;+/-;0.135478;
avg service;2.485175;+/-;0.039510;
avg # in node;2.568601;+/-;0.137365;
avg # in queue;0.686959;+/-;0.108868;
avg utilizzation;0.627096;+/-;0.013576;
ploss;0.0000%;+/-;0.0000%;

NODE 4;mean;;interval;
avg interarrival;0.386467;+/-;0.002912;
avg wait;2.119929;+/-;0.045718;
avg delay;0.820046;+/-;0.036830;
avg service;1.299774;+/-;0.012526;
avg # in node;5.479495;+/-;0.107525;
avg # in queue;2.117353;+/-;0.089992;
avg utilizzation;0.840484;+/-;0.008424;
ploss;4.1489%;+/-;0.4083%;

Average max response time:; 11.8087;+/-;0.2400;
