Based on 64 simulations and with 95.00% confidence;

NODE 1;mean;;interval;
avg interarrival;0.526433;+/-;0.000336;
avg wait;10.815012;+/-;0.237258;
avg delay;8.815780;+/-;0.236653;
avg service;1.999232;+/-;0.001248;
avg # in node;20.534413;+/-;0.457491;
avg # in queue;16.738941;+/-;0.454989;
avg utilizzation;0.948868;+/-;0.000833;
ploss;0.0000%;+/-;0.0000%;

NODE 2;mean;;interval;
avg interarrival;0.847809;+/-;0.000719;
avg wait;15.893732;+/-;0.400287;
avg delay;12.691838;+/-;0.398687;
avg service;3.201894;+/-;0.002612;
avg # in node;18.741578;+/-;0.480853;
avg # in queue;14.966678;+/-;0.477138;
avg utilizzation;0.943725;+/-;0.001140;
ploss;0.0000%;+/-;0.0000%;

NODE 3;mean;;interval;
avg interarrival;1.321547;+/-;0.001367;
avg wait;22.582705;+/-;0.641679;
avg delay;20.085334;+/-;0.640364;
avg service;2.497370;+/-;0.002691;
avg # in node;17.085177;+/-;0.489377;
avg # in queue;15.195985;+/-;0.487863;
avg utilizzation;0.944596;+/-;0.001304;
ploss;0.0000%;+/-;0.0000%;

NODE 4;mean;;interval;
avg interarrival;0.651406;+/-;0.000457;
avg wait;5.666874;+/-;0.005423;
avg delay;4.367037;+/-;0.004542;
avg service;1.299836;+/-;0.000928;
avg # in node;8.699183;+/-;0.003288;
avg # in queue;6.703808;+/-;0.003214;
avg utilizzation;0.997687;+/-;0.000061;
ploss;43.0927%;+/-;0.0509%;

Average max response time:; 54.9583;+/-;0.8638;
