Based on 64 simulations and with 95.00% confidence;

NODE 1;mean;;interval;
avg interarrival;0.526433;+/-;0.000336;
avg wait;2.795987;+/-;0.007368;
avg delay;0.796755;+/-;0.006647;
avg service;1.999232;+/-;0.001248;
avg # in node;5.310452;+/-;0.015454;
avg # in queue;1.513321;+/-;0.013009;
avg utilizzation;0.759426;+/-;0.000669;
ploss;0.0000%;+/-;0.0000%;

NODE 2;mean;;interval;
avg interarrival;0.847782;+/-;0.000764;
avg wait;3.537811;+/-;0.004785;
avg delay;0.335915;+/-;0.003350;
avg service;3.201896;+/-;0.002613;
avg # in node;4.172538;+/-;0.007616;
avg # in queue;0.396203;+/-;0.004102;
avg utilizzation;0.629389;+/-;0.000767;
ploss;0.0000%;+/-;0.0000%;

NODE 3;mean;;interval;
avg interarrival;1.321320;+/-;0.001466;
avg wait;3.381646;+/-;0.012388;
avg delay;0.884282;+/-;0.010490;
avg service;2.497364;+/-;0.002649;
avg # in node;2.559185;+/-;0.011068;
avg # in queue;0.669267;+/-;0.008355;
avg utilizzation;0.629973;+/-;0.001064;
ploss;0.0000%;+/-;0.0000%;

NODE 4;mean;;interval
avg interarrival;0.370531;+/-;0.000218;
class[1];0.432451;+/-;0.000288;
class[2];2.587599;+/-;0.002663;
avg wait;3.259309;+/-;0.019901;
class[1];2.270799;+/-;0.005922;
class[2];9.174965;+/-;0.111216;
avg delay;1.959383;+/-;0.019625;
class[1];0.970718;+/-;0.005616;
class[2];7.875979;+/-;0.111151;
avg service;1.299926;+/-;0.000575;
class[1];1.300081;+/-;0.000590;
class[2];1.298986;+/-;0.001844;
avg # in node;8.796320;+/-;0.056355;
class[1];5.250916;+/-;0.015871;
class[2];3.545403;+/-;0.042870;
avg # in queue;5.288138;+/-;0.054524;
class[1];2.244699;+/-;0.013881;
class[2];3.043439;+/-;0.042824;
avg utilizzation;0.877046;+/-;0.000633;
class[1];0.751554;+/-;0.000618;
class[2];0.125491;+/-;0.000241;
ploss;0.0000%;+/-;0.0000%;

Average max response time:; 12.9748;+/-;0.0286;
class[1]; 11.9862;+/-;0.0189;
class[2]; 18.8904;+/-;0.1158;
