Based on 200 simulations and with 99.00% confidence;

NODE 1;mean;;interval;
avg interarrival;0.526402;+/-;0.000238;
avg wait;2.797404;+/-;0.005459;
avg delay;0.797915;+/-;0.004951;
avg service;1.999489;+/-;0.000860;
avg # in node;5.313448;+/-;0.011479;
avg # in queue;1.515613;+/-;0.009708;
avg utilizzation;0.759567;+/-;0.000466;
ploss;0.0000%;+/-;0.0000%;

NODE 2;mean;;interval;
avg interarrival;0.847486;+/-;0.000529;
avg wait;3.535394;+/-;0.003781;
avg delay;0.335622;+/-;0.002653;
avg service;3.199772;+/-;0.001826;
avg # in node;4.171161;+/-;0.005763;
avg # in queue;0.395997;+/-;0.003235;
avg utilizzation;0.629194;+/-;0.000534;
ploss;0.0000%;+/-;0.0000%;

NODE 3;mean;;interval;
avg interarrival;1.321269;+/-;0.001010;
avg wait;3.394135;+/-;0.007703;
avg delay;0.893901;+/-;0.006269;
avg service;2.500235;+/-;0.001984;
avg # in node;2.568699;+/-;0.006717;
avg # in queue;0.676538;+/-;0.004961;
avg utilizzation;0.630720;+/-;0.000711;
ploss;0.0000%;+/-;0.0000%;

NODE 4;mean;;interval;
avg interarrival;0.386492;+/-;0.000128;
avg wait;2.109999;+/-;0.002088;
avg delay;0.810093;+/-;0.001735;
avg service;1.299906;+/-;0.000487;
avg # in node;5.459270;+/-;0.005811;
avg # in queue;2.095987;+/-;0.004659;
avg utilizzation;0.840821;+/-;0.000347;
ploss;4.1454%;+/-;0.0190%;

Average max response time:; 11.8369;+/-;0.0110;
