Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;21.60; 0.557545;2.423992;0.160047;2.263944;2.543709;0.167952;0.475151;0.0000;
;43.20; 0.575131;2.198811;0.167115;2.031695;3.003341;0.228262;0.555016;0.0000;
;64.80; 0.532095;2.184079;0.200507;1.983572;3.269856;0.300186;0.593934;0.0000;
;86.40; 0.566350;2.165428;0.170169;1.995259;3.151253;0.247639;0.580723;0.0000;
;108.00; 0.573290;2.084510;0.138564;1.945946;3.304257;0.219645;0.616922;0.0000;
;129.60; 0.564603;2.019311;0.131356;1.887955;3.322781;0.216147;0.621327;0.0000;
;151.20; 0.553130;1.950185;0.113228;1.836956;3.209510;0.186345;0.604633;0.0000;
;172.80; 0.558205;1.944698;0.105168;1.839530;3.232690;0.174821;0.611574;0.0000;
;194.40; 0.555979;2.085819;0.177964;1.907855;3.536306;0.301721;0.646917;0.0000;
;216.00; 0.560087;2.105642;0.175016;1.930626;3.525643;0.293043;0.646520;0.0000;
;237.60; 0.552717;2.467997;0.453652;2.014345;4.220684;0.775819;0.688973;0.0000;
;259.20; 0.549099;2.541793;0.535235;2.006557;4.452474;0.937575;0.702980;0.0000;
;280.80; 0.547345;2.531811;0.543641;1.988170;4.385877;0.941754;0.688825;0.0000;
;302.40; 0.542666;2.499002;0.513412;1.985590;4.356635;0.895057;0.692316;0.0000;
;324.00; 0.535588;2.489238;0.511699;1.977540;4.461491;0.917123;0.708873;0.0000;
;345.60; 0.531422;2.440004;0.484738;1.955266;4.444370;0.882931;0.712288;0.0000;
;367.20; 0.527890;2.579148;0.572208;2.006940;4.664189;1.034793;0.725879;0.0000;
;388.80; 0.524555;2.746841;0.728410;2.018432;5.097440;1.351743;0.749139;0.0000;
;410.40; 0.523055;2.763427;0.742784;2.020642;5.148651;1.383911;0.752948;0.0000;
;432.00; 0.524399;2.877505;0.845625;2.031879;5.389986;1.583979;0.761201;0.0000;
;453.60; 0.518864;2.855238;0.817931;2.037308;5.272518;1.510401;0.752423;0.0000;
;475.20; 0.520545;2.856304;0.809038;2.047266;5.370055;1.521049;0.769801;0.0000;
;496.80; 0.515848;2.871087;0.805758;2.065329;5.424539;1.522373;0.780433;0.0000;
;518.40; 0.516030;2.898994;0.837576;2.061418;5.530655;1.597914;0.786548;0.0000;
;540.00; 0.515751;2.888889;0.827254;2.061635;5.446354;1.559602;0.777350;0.0000;
;561.60; 0.511623;2.850584;0.801664;2.048920;5.442401;1.530555;0.782369;0.0000;
;583.20; 0.513315;2.835375;0.781074;2.054301;5.429704;1.495746;0.786792;0.0000;
;604.80; 0.511361;2.818098;0.767591;2.050506;5.358750;1.459612;0.779827;0.0000;
;626.40; 0.515959;2.804631;0.750038;2.054593;5.292483;1.415360;0.775425;0.0000;
;648.00; 0.516798;2.836671;0.777623;2.059049;5.381906;1.475353;0.781311;0.0000;
;669.60; 0.512184;2.852494;0.795417;2.057077;5.462516;1.523220;0.787859;0.0000;
;691.20; 0.512962;2.873512;0.797593;2.075920;5.527576;1.534273;0.798661;0.0000;
;712.80; 0.512294;2.829056;0.774852;2.054203;5.443004;1.490789;0.790443;0.0000;
;734.40; 0.515327;2.805438;0.755997;2.049441;5.369774;1.447024;0.784550;0.0000;
;756.00; 0.515664;2.782119;0.737816;2.044303;5.328410;1.413091;0.783064;0.0000;
;777.60; 0.514237;2.795833;0.745979;2.049854;5.368727;1.432475;0.787250;0.0000;
;799.20; 0.515895;2.798460;0.743080;2.055381;5.323464;1.413548;0.781983;0.0000;
;820.80; 0.516225;2.811140;0.761577;2.049563;5.373798;1.455837;0.783592;0.0000;
;842.40; 0.516724;2.810341;0.755432;2.054909;5.331571;1.433150;0.779684;0.0000;
;864.00; 0.520775;2.797206;0.743579;2.053627;5.319015;1.413949;0.781013;0.0000;
;885.60; 0.522432;2.800657;0.743253;2.057404;5.278250;1.400770;0.775496;0.0000;
;907.20; 0.517323;2.789988;0.743806;2.046182;5.320409;1.418412;0.780399;0.0000;
;928.80; 0.519144;2.775500;0.741959;2.033541;5.289556;1.414028;0.775106;0.0000;
;950.40; 0.517112;2.772439;0.738436;2.034003;5.296772;1.410790;0.777196;0.0000;
;972.00; 0.517837;2.770766;0.730339;2.040427;5.295973;1.395952;0.780004;0.0000;
;993.60; 0.518757;2.778053;0.735001;2.043052;5.285403;1.398381;0.777404;0.0000;
;1015.20; 0.520780;2.755212;0.723360;2.031852;5.200805;1.365432;0.767075;0.0000;
;1036.80; 0.522538;2.734344;0.710678;2.023666;5.184693;1.347543;0.767430;0.0000;
