Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;21.60; 0.530656;3.169962;1.066012;2.103949;3.360814;1.130193;0.557655;0.0000;
;43.20; 0.565681;2.897135;0.774540;2.122595;4.019357;1.074563;0.736199;0.0000;
;64.80; 0.503968;3.830591;1.847964;1.982627;6.467029;3.119841;0.836797;0.0000;
;86.40; 0.476289;4.400596;2.375808;2.024789;6.867273;3.707525;0.789937;0.0000;
;108.00; 0.475013;5.007795;3.084392;1.923403;7.922259;4.879464;0.760699;0.0000;
;129.60; 0.465516;4.983781;3.073107;1.910675;8.553518;5.274283;0.819809;0.0000;
;151.20; 0.477271;5.166030;3.257618;1.908412;9.006494;5.679355;0.831785;0.0000;
;172.80; 0.481006;5.105724;3.191347;1.914377;9.191362;5.745086;0.861569;0.0000;
;194.40; 0.473442;5.611921;3.658879;1.953042;10.046980;6.550463;0.874129;0.0000;
;216.00; 0.480522;6.020995;4.040823;1.980173;10.801066;7.248834;0.888058;0.0000;
;237.60; 0.474818;6.276687;4.339505;1.937182;11.185347;7.733198;0.863037;0.0000;
;259.20; 0.470641;6.668654;4.771644;1.897010;12.191361;8.723325;0.867009;0.0000;
;280.80; 0.472097;6.654918;4.771761;1.883157;12.920107;9.264075;0.914008;0.0000;
;302.40; 0.478061;6.554700;4.649902;1.904799;12.324958;8.743320;0.895410;0.0000;
;324.00; 0.477097;6.374593;4.474859;1.899735;12.176596;8.547769;0.907207;0.0000;
;345.60; 0.475731;6.509800;4.601409;1.908391;12.574000;8.887848;0.921538;0.0000;
;367.20; 0.481781;6.415725;4.511721;1.904003;12.069356;8.487517;0.895460;0.0000;
;388.80; 0.489810;6.226318;4.336567;1.889751;11.647693;8.112499;0.883798;0.0000;
;410.40; 0.488460;6.098909;4.195224;1.903685;11.313733;7.782317;0.882854;0.0000;
;432.00; 0.488112;6.201542;4.286481;1.915061;11.669296;8.065772;0.900881;0.0000;
;453.60; 0.491064;6.072703;4.188315;1.884387;11.923524;8.223600;0.924981;0.0000;
;475.20; 0.490973;5.946802;4.050595;1.896207;11.644688;7.931644;0.928261;0.0000;
;496.80; 0.492354;5.997559;4.091161;1.906398;11.743856;8.010927;0.933232;0.0000;
;518.40; 0.492838;6.006964;4.101415;1.905550;11.782295;8.044675;0.934405;0.0000;
;540.00; 0.501387;5.890244;3.995307;1.894937;11.623059;7.883831;0.934807;0.0000;
;561.60; 0.501206;5.881208;3.975453;1.905755;11.483724;7.762521;0.930301;0.0000;
;583.20; 0.500045;5.992699;4.049208;1.943491;11.449044;7.736007;0.928259;0.0000;
;604.80; 0.498397;6.288755;4.348459;1.940295;12.093299;8.362104;0.932799;0.0000;
;626.40; 0.502321;6.455681;4.512205;1.943476;12.469957;8.715889;0.938517;0.0000;
;648.00; 0.506095;6.508841;4.563658;1.945183;12.319104;8.637509;0.920399;0.0000;
;669.60; 0.506809;6.398141;4.474679;1.923462;12.273237;8.583556;0.922420;0.0000;
;691.20; 0.502648;6.367908;4.436931;1.930977;12.275274;8.552973;0.930575;0.0000;
;712.80; 0.501954;6.536855;4.607703;1.929152;12.601397;8.882481;0.929729;0.0000;
;734.40; 0.506025;6.556604;4.621390;1.935214;12.681891;8.938768;0.935781;0.0000;
;756.00; 0.504262;6.624716;4.685729;1.938987;12.744906;9.014601;0.932576;0.0000;
;777.60; 0.505070;6.660537;4.727184;1.933352;12.863466;9.129591;0.933469;0.0000;
;799.20; 0.503826;6.582592;4.648284;1.934308;12.727520;8.987512;0.935002;0.0000;
;820.80; 0.503782;6.493190;4.565474;1.927717;12.608251;8.865078;0.935793;0.0000;
;842.40; 0.505929;6.418729;4.486390;1.932339;12.458506;8.707910;0.937649;0.0000;
;864.00; 0.507043;6.349802;4.410951;1.938851;12.244061;8.505455;0.934652;0.0000;
;885.60; 0.505433;6.307200;4.374301;1.932899;12.144688;8.422837;0.930463;0.0000;
;907.20; 0.506773;6.208011;4.288289;1.919721;12.024951;8.306440;0.929628;0.0000;
;928.80; 0.506895;6.116003;4.199838;1.916165;11.584705;7.955177;0.907382;0.0000;
;950.40; 0.504722;6.056032;4.139881;1.916151;11.580330;7.916271;0.916015;0.0000;
;972.00; 0.505939;6.099733;4.179081;1.920651;11.728619;8.035574;0.923261;0.0000;
;993.60; 0.509340;6.062993;4.147465;1.915528;11.561773;7.908974;0.913200;0.0000;
;1015.20; 0.509416;6.013004;4.090346;1.922658;11.452551;7.790597;0.915488;0.0000;
;1036.80; 0.509589;5.943951;4.028437;1.915514;11.385911;7.716656;0.917314;0.0000;
;1058.40; 0.507031;5.928998;4.004113;1.924885;11.362902;7.673867;0.922259;0.0000;
;1080.00; 0.505297;6.087467;4.158505;1.928962;11.758779;8.032724;0.931514;0.0000;
;1101.60; 0.507836;6.219650;4.284976;1.934674;11.933040;8.221169;0.927968;0.0000;
;1123.20; 0.508822;6.309059;4.379036;1.930023;12.096768;8.396210;0.925140;0.0000;
;1144.80; 0.511290;6.291296;4.365449;1.925847;12.162410;8.439338;0.930768;0.0000;
;1166.40; 0.509268;6.224286;4.298401;1.925885;12.067358;8.333540;0.933454;0.0000;
;1188.00; 0.508902;6.160471;4.242882;1.917588;11.887340;8.187132;0.925052;0.0000;
;1209.60; 0.510267;6.124512;4.204002;1.920510;11.824949;8.116910;0.927010;0.0000;
;1231.20; 0.510481;6.110439;4.186171;1.924267;11.814818;8.094158;0.930165;0.0000;
;1252.80; 0.511844;6.061221;4.136180;1.925041;11.650341;7.950198;0.925036;0.0000;
;1274.40; 0.511282;6.038155;4.109137;1.929018;11.641746;7.922541;0.929801;0.0000;
;1296.00; 0.510303;6.093663;4.158410;1.935253;11.729833;8.004620;0.931303;0.0000;
;1317.60; 0.511143;6.101228;4.170736;1.930491;11.776020;8.049966;0.931514;0.0000;
;1339.20; 0.511296;6.062686;4.130859;1.931826;11.707627;7.977085;0.932635;0.0000;
;1360.80; 0.510915;6.091670;4.149268;1.942402;11.703128;7.971446;0.932921;0.0000;
;1382.40; 0.512318;6.080420;4.144533;1.935887;11.672238;7.956026;0.929053;0.0000;
;1404.00; 0.512370;6.051210;4.108760;1.942450;11.630623;7.897170;0.933363;0.0000;
;1425.60; 0.511040;6.081622;4.137372;1.944251;11.751897;7.994901;0.939249;0.0000;
;1447.20; 0.511926;6.082379;4.137036;1.945343;11.741711;7.986330;0.938845;0.0000;
;1468.80; 0.511917;6.086292;4.142129;1.944163;11.747587;7.995019;0.938142;0.0000;
;1490.40; 0.514385;6.055671;4.113402;1.942269;11.631956;7.901174;0.932695;0.0000;
;1512.00; 0.513200;5.996727;4.058416;1.938311;11.547015;7.814695;0.933080;0.0000;
;1533.60; 0.513664;5.943503;4.009009;1.934494;11.439657;7.716273;0.930846;0.0000;
;1555.20; 0.513837;5.883177;3.955861;1.927316;11.378526;7.650945;0.931895;0.0000;
;1576.80; 0.515184;5.845834;3.917837;1.927997;11.232502;7.527945;0.926139;0.0000;
;1598.40; 0.516994;5.812336;3.883489;1.928847;11.163182;7.458635;0.926137;0.0000;
;1620.00; 0.518981;5.783495;3.853161;1.930334;11.045960;7.359194;0.921692;0.0000;
;1641.60; 0.517538;5.799882;3.866047;1.933835;11.054855;7.368873;0.921496;0.0000;
;1663.20; 0.516438;5.909351;3.970154;1.939198;11.263274;7.567146;0.924032;0.0000;
;1684.80; 0.516631;6.011378;4.076090;1.935288;11.492392;7.792560;0.924958;0.0000;
