Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;21.60; 0.557545;2.423992;0.160047;2.263944;2.543709;0.167952;0.475151;0.0000;
;43.20; 0.575131;2.198811;0.167115;2.031695;2.942508;0.223638;0.543774;0.0000;
;64.80; 0.532095;2.184079;0.200507;1.983572;3.292535;0.302268;0.598053;0.0000;
;86.40; 0.566350;2.165428;0.170169;1.995259;3.134227;0.246301;0.577585;0.0000;
;108.00; 0.573290;2.084510;0.138564;1.945946;3.346616;0.222460;0.624831;0.0000;
;129.60; 0.564603;2.019311;0.131356;1.887955;3.305731;0.215037;0.618139;0.0000;
;151.20; 0.553130;1.950185;0.113228;1.836956;3.160985;0.183528;0.595491;0.0000;
;172.80; 0.558205;1.944698;0.105168;1.839530;3.315443;0.179296;0.627229;0.0000;
;194.40; 0.555979;2.085819;0.177964;1.907855;3.623451;0.309157;0.662859;0.0000;
;216.00; 0.560087;2.105642;0.175016;1.930626;3.522278;0.292763;0.645903;0.0000;
;237.60; 0.552717;2.467997;0.453652;2.014345;4.223145;0.776272;0.689375;0.0000;
;259.20; 0.549099;2.541793;0.535235;2.006557;4.321229;0.909939;0.682258;0.0000;
;280.80; 0.547345;2.531811;0.543641;1.988170;4.391457;0.942952;0.689701;0.0000;
;302.40; 0.542666;2.499002;0.513412;1.985590;4.405107;0.905016;0.700018;0.0000;
;324.00; 0.535588;2.489238;0.511699;1.977540;4.471965;0.919277;0.710538;0.0000;
;345.60; 0.531422;2.440004;0.484738;1.955266;4.343798;0.862951;0.696169;0.0000;
;367.20; 0.527890;2.579148;0.572208;2.006940;4.670382;1.036167;0.726843;0.0000;
;388.80; 0.524555;2.746841;0.728410;2.018432;5.070466;1.344590;0.745175;0.0000;
;410.40; 0.523055;2.763427;0.742784;2.020642;5.129259;1.378699;0.750112;0.0000;
;432.00; 0.524399;2.877505;0.845625;2.031879;5.329802;1.566293;0.752702;0.0000;
;453.60; 0.518864;2.855238;0.817931;2.037308;5.342371;1.530412;0.762392;0.0000;
;475.20; 0.520545;2.856304;0.809038;2.047266;5.240636;1.484392;0.751249;0.0000;
;496.80; 0.515848;2.871087;0.805758;2.065329;5.421221;1.521442;0.779956;0.0000;
;518.40; 0.516030;2.898994;0.837576;2.061418;5.547215;1.602698;0.788903;0.0000;
;540.00; 0.515751;2.888889;0.827254;2.061635;5.495047;1.573545;0.784300;0.0000;
;561.60; 0.511623;2.850584;0.801664;2.048920;5.428616;1.526679;0.780388;0.0000;
;583.20; 0.513315;2.835375;0.781074;2.054301;5.445287;1.500038;0.789050;0.0000;
;604.80; 0.511361;2.818098;0.767591;2.050506;5.401863;1.471355;0.786102;0.0000;
;626.40; 0.515959;2.804631;0.750038;2.054593;5.305505;1.418843;0.777332;0.0000;
;648.00; 0.516798;2.836671;0.777623;2.059049;5.371509;1.472503;0.779801;0.0000;
;669.60; 0.512184;2.852494;0.795417;2.057077;5.386759;1.502095;0.776933;0.0000;
;691.20; 0.512962;2.873512;0.797593;2.075920;5.525032;1.533567;0.798293;0.0000;
;712.80; 0.512294;2.829056;0.774852;2.054203;5.423650;1.485488;0.787632;0.0000;
;734.40; 0.515327;2.805438;0.755997;2.049441;5.363913;1.445444;0.783694;0.0000;
