Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;21.60; 0.530656;2.229759;0.125810;2.103949;2.581753;0.145671;0.487217;0.0000;
;43.20; 0.565681;2.226931;0.104336;2.122595;3.308339;0.155003;0.630667;0.0000;
;64.80; 0.503968;2.458902;0.476275;1.982627;4.387543;0.849841;0.707540;0.0000;
;86.40; 0.476289;2.539046;0.514258;2.024789;4.259894;0.862798;0.679419;0.0000;
;108.00; 0.475013;2.413739;0.490337;1.923403;4.452052;0.904408;0.709529;0.0000;
;129.60; 0.465516;2.422605;0.511930;1.910675;4.666782;0.986156;0.736125;0.0000;
;151.20; 0.477271;2.459946;0.551534;1.908412;4.617649;1.035303;0.716469;0.0000;
;172.80; 0.481006;2.454836;0.540459;1.914377;4.714335;1.037911;0.735285;0.0000;
;194.40; 0.473442;2.728048;0.775006;1.953042;5.225711;1.484562;0.748230;0.0000;
;216.00; 0.480522;2.745427;0.765255;1.980173;5.225080;1.456428;0.753730;0.0000;
;237.60; 0.474818;2.654180;0.716998;1.937182;5.332996;1.440650;0.778469;0.0000;
;259.20; 0.470641;2.626121;0.729110;1.897010;5.189705;1.440858;0.749769;0.0000;
;280.80; 0.472097;2.569818;0.686661;1.883157;5.223505;1.395732;0.765555;0.0000;
;302.40; 0.478061;2.567813;0.663014;1.904799;5.193425;1.340952;0.770495;0.0000;
;324.00; 0.477097;2.551620;0.651886;1.899735;5.198316;1.328061;0.774051;0.0000;
;345.60; 0.475731;2.619577;0.711186;1.908391;5.283986;1.434543;0.769889;0.0000;
;367.20; 0.481781;2.587804;0.683801;1.904003;5.213661;1.377657;0.767201;0.0000;
;388.80; 0.489810;2.551161;0.661410;1.889751;5.011483;1.299270;0.742443;0.0000;
;410.40; 0.488460;2.542068;0.638383;1.903685;4.907917;1.232512;0.735081;0.0000;
;432.00; 0.488112;2.547163;0.632102;1.915061;5.020352;1.245847;0.754901;0.0000;
;453.60; 0.491064;2.491240;0.606853;1.884387;4.960280;1.208299;0.750396;0.0000;
;475.20; 0.490973;2.492856;0.596649;1.896207;4.981382;1.192262;0.757824;0.0000;
;496.80; 0.492354;2.520911;0.614514;1.906398;5.026921;1.225395;0.760305;0.0000;
;518.40; 0.492838;2.508918;0.603369;1.905550;4.966953;1.194500;0.754490;0.0000;
;540.00; 0.501387;2.482082;0.587145;1.894937;4.858429;1.149278;0.741830;0.0000;
;561.60; 0.501206;2.506890;0.601135;1.905755;4.894665;1.173707;0.744192;0.0000;
;583.20; 0.500045;2.620233;0.676742;1.943491;5.096805;1.316380;0.756085;0.0000;
;604.80; 0.498397;2.710909;0.770614;1.940295;5.286926;1.502882;0.756809;0.0000;
;626.40; 0.502321;2.711835;0.768358;1.943476;5.286460;1.497841;0.757724;0.0000;
;648.00; 0.506095;2.696714;0.751531;1.945183;5.189525;1.446237;0.748657;0.0000;
;669.60; 0.506809;2.650556;0.727094;1.923462;5.090807;1.396498;0.738862;0.0000;
;691.20; 0.502648;2.704682;0.773705;1.930977;5.256168;1.503587;0.750516;0.0000;
;712.80; 0.501954;2.786843;0.857691;1.929152;5.406869;1.664041;0.748566;0.0000;
;734.40; 0.506025;2.775747;0.840533;1.935214;5.386171;1.631003;0.751034;0.0000;
;756.00; 0.504262;2.773577;0.834589;1.938987;5.351126;1.610193;0.748187;0.0000;
;777.60; 0.505070;2.757861;0.824509;1.933352;5.372582;1.606223;0.753272;0.0000;
;799.20; 0.503826;2.740579;0.806271;1.934308;5.350672;1.574152;0.755304;0.0000;
;820.80; 0.503782;2.714343;0.786626;1.927717;5.320805;1.541988;0.755763;0.0000;
;842.40; 0.505929;2.704407;0.772068;1.932339;5.286369;1.509179;0.755438;0.0000;
;864.00; 0.507043;2.698257;0.759406;1.938851;5.250876;1.477824;0.754611;0.0000;
;885.60; 0.505433;2.677078;0.744179;1.932899;5.237098;1.455818;0.756256;0.0000;
;907.20; 0.506773;2.647872;0.728150;1.919721;5.177437;1.423767;0.750734;0.0000;
;928.80; 0.506895;2.629917;0.713753;1.916165;5.120458;1.389679;0.746156;0.0000;
;950.40; 0.504722;2.636126;0.719975;1.916151;5.129015;1.400830;0.745637;0.0000;
;972.00; 0.505939;2.656872;0.736220;1.920651;5.218111;1.445941;0.754434;0.0000;
;993.60; 0.509340;2.641822;0.726294;1.915528;5.109356;1.404673;0.740937;0.0000;
;1015.20; 0.509416;2.641139;0.718480;1.922658;5.117210;1.392057;0.745031;0.0000;
;1036.80; 0.509589;2.621459;0.705945;1.915514;5.049462;1.359793;0.737934;0.0000;
;1058.40; 0.507031;2.647018;0.722133;1.924885;5.146583;1.404039;0.748509;0.0000;
;1080.00; 0.505297;2.724207;0.795246;1.928962;5.325557;1.554627;0.754186;0.0000;
;1101.60; 0.507836;2.739814;0.805140;1.934674;5.295906;1.556290;0.747923;0.0000;
;1123.20; 0.508822;2.722656;0.792632;1.930023;5.293788;1.541152;0.750527;0.0000;
;1144.80; 0.511290;2.706966;0.781118;1.925847;5.239720;1.511966;0.745551;0.0000;
;1166.40; 0.509268;2.696829;0.770944;1.925885;5.193234;1.484592;0.741728;0.0000;
;1188.00; 0.508902;2.678325;0.760737;1.917588;5.186883;1.473254;0.742726;0.0000;
;1209.60; 0.510267;2.676820;0.756310;1.920510;5.179084;1.463302;0.743156;0.0000;
;1231.20; 0.510481;2.682487;0.758219;1.924267;5.192030;1.467555;0.744895;0.0000;
;1252.80; 0.511844;2.675371;0.750330;1.925041;5.196011;1.457265;0.747749;0.0000;
;1274.40; 0.511282;2.671460;0.742442;1.929018;5.185329;1.441086;0.748848;0.0000;
;1296.00; 0.510303;2.672833;0.737580;1.935253;5.196524;1.434004;0.752504;0.0000;
;1317.60; 0.511143;2.657390;0.726899;1.930491;5.157651;1.410817;0.749367;0.0000;
;1339.20; 0.511296;2.648351;0.716524;1.931826;5.131556;1.388368;0.748638;0.0000;
;1360.80; 0.510915;2.673818;0.731417;1.942402;5.174816;1.415558;0.751852;0.0000;
;1382.40; 0.512318;2.662268;0.726381;1.935887;5.173935;1.411672;0.752453;0.0000;
;1404.00; 0.512370;2.662742;0.720292;1.942450;5.125994;1.386620;0.747875;0.0000;
;1425.60; 0.511040;2.667298;0.723047;1.944251;5.157957;1.398212;0.751949;0.0000;
;1447.20; 0.511926;2.661609;0.716266;1.945343;5.156969;1.387793;0.753835;0.0000;
;1468.80; 0.511917;2.653255;0.709092;1.944163;5.145339;1.375110;0.754046;0.0000;
;1490.40; 0.514385;2.644646;0.702378;1.942269;5.102114;1.355043;0.749414;0.0000;
;1512.00; 0.513200;2.632185;0.693874;1.938311;5.082094;1.339699;0.748479;0.0000;
;1533.60; 0.513664;2.620627;0.686133;1.934494;5.065132;1.326154;0.747796;0.0000;
;1555.20; 0.513837;2.604161;0.676845;1.927316;5.014625;1.303346;0.742256;0.0000;
;1576.80; 0.515184;2.598568;0.670572;1.927997;5.020713;1.295616;0.745019;0.0000;
;1598.40; 0.516994;2.592962;0.664115;1.928847;4.997657;1.280011;0.743529;0.0000;
;1620.00; 0.518981;2.589638;0.659304;1.930334;4.956329;1.261847;0.738896;0.0000;
;1641.60; 0.517538;2.599715;0.665880;1.933835;4.950166;1.267915;0.736450;0.0000;
;1663.20; 0.516438;2.631075;0.691877;1.939198;5.054057;1.329033;0.745005;0.0000;
;1684.80; 0.516631;2.629448;0.694160;1.935288;5.048221;1.332703;0.743104;0.0000;
;1706.40; 0.517273;2.624800;0.687841;1.936959;5.022577;1.316189;0.741278;0.0000;
;1728.00; 0.517066;2.622044;0.683759;1.938285;5.039838;1.314255;0.745117;0.0000;
;1749.60; 0.518221;2.610379;0.677373;1.933006;5.010818;1.300268;0.742110;0.0000;
;1771.20; 0.517652;2.621631;0.681901;1.939729;5.035317;1.309715;0.745120;0.0000;
;1792.80; 0.517406;2.646093;0.703481;1.942612;5.076436;1.349604;0.745366;0.0000;
;1814.40; 0.518245;2.635606;0.696498;1.939108;5.044803;1.333164;0.742328;0.0000;
;1836.00; 0.518417;2.638137;0.696512;1.941626;5.059961;1.335914;0.744810;0.0000;
;1857.60; 0.517768;2.634536;0.691562;1.942975;5.048853;1.325316;0.744707;0.0000;
;1879.20; 0.518948;2.634647;0.689066;1.945581;5.037878;1.317607;0.744054;0.0000;
;1900.80; 0.519045;2.630486;0.690378;1.940108;5.037224;1.322033;0.743038;0.0000;
;1922.40; 0.519441;2.626910;0.685767;1.941144;4.993698;1.303627;0.738014;0.0000;
;1944.00; 0.518878;2.615941;0.680224;1.935717;5.001108;1.300440;0.740134;0.0000;
;1965.60; 0.520137;2.608177;0.674341;1.933836;4.994786;1.291396;0.740678;0.0000;
;1987.20; 0.519345;2.615888;0.678459;1.937429;4.989630;1.294114;0.739103;0.0000;
;2008.80; 0.519045;2.610573;0.674198;1.936375;5.012612;1.294541;0.743614;0.0000;
;2030.40; 0.517993;2.615687;0.676505;1.939182;5.013177;1.296577;0.743320;0.0000;
;2052.00; 0.519577;2.608802;0.671364;1.937437;4.986139;1.283162;0.740595;0.0000;
;2073.60; 0.519658;2.602172;0.665269;1.936903;4.955015;1.266794;0.737644;0.0000;
