Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;21.60; 0.530656;2.229759;0.125810;2.103949;2.581753;0.145671;0.487217;0.0000;
;43.20; 0.565681;2.226931;0.104336;2.122595;3.308339;0.155003;0.630667;0.0000;
;64.80; 0.503968;2.458902;0.476275;1.982627;4.387543;0.849841;0.707540;0.0000;
;86.40; 0.476289;2.539046;0.514258;2.024789;4.435445;0.898354;0.707418;0.0000;
;108.00; 0.475013;2.413739;0.490337;1.923403;4.569884;0.928345;0.728308;0.0000;
;129.60; 0.465516;2.422605;0.511930;1.910675;4.700335;0.993246;0.741418;0.0000;
;151.20; 0.477271;2.459946;0.551534;1.908412;4.662138;1.045278;0.723372;0.0000;
;172.80; 0.481006;2.454836;0.540459;1.914377;4.758716;1.047682;0.742207;0.0000;
;194.40; 0.473442;2.728048;0.775006;1.953042;5.197184;1.476458;0.744145;0.0000;
;216.00; 0.480522;2.745427;0.765255;1.980173;5.391172;1.502724;0.777690;0.0000;
;237.60; 0.474818;2.654180;0.716998;1.937182;5.351759;1.445719;0.781208;0.0000;
;259.20; 0.470641;2.626121;0.729110;1.897010;5.276672;1.465004;0.762334;0.0000;
;280.80; 0.472097;2.569818;0.686661;1.883157;5.248271;1.402349;0.769184;0.0000;
;302.40; 0.478061;2.567813;0.663014;1.904799;5.179491;1.337354;0.768427;0.0000;
;324.00; 0.477097;2.551620;0.651886;1.899735;5.107264;1.304799;0.760493;0.0000;
;345.60; 0.475731;2.619577;0.711186;1.908391;5.295590;1.437694;0.771579;0.0000;
;367.20; 0.481781;2.587804;0.683801;1.904003;5.192512;1.372068;0.764089;0.0000;
;388.80; 0.489810;2.551161;0.661410;1.889751;5.015267;1.300251;0.743003;0.0000;
;410.40; 0.488460;2.542068;0.638383;1.903685;5.016186;1.259701;0.751297;0.0000;
;432.00; 0.488112;2.547163;0.632102;1.915061;5.131963;1.273544;0.771684;0.0000;
;453.60; 0.491064;2.491240;0.606853;1.884387;4.950960;1.206028;0.748986;0.0000;
;475.20; 0.490973;2.492856;0.596649;1.896207;4.955176;1.185990;0.753837;0.0000;
;496.80; 0.492354;2.520911;0.614514;1.906398;5.029234;1.225958;0.760655;0.0000;
;518.40; 0.492838;2.508918;0.603369;1.905550;4.987184;1.199366;0.757564;0.0000;
;540.00; 0.501387;2.482082;0.587145;1.894937;4.836773;1.144155;0.738524;0.0000;
;561.60; 0.501206;2.506890;0.601135;1.905755;4.905269;1.176249;0.745804;0.0000;
;583.20; 0.500045;2.620233;0.676742;1.943491;5.053438;1.305179;0.749652;0.0000;
;604.80; 0.498397;2.710909;0.770614;1.940295;5.215656;1.482623;0.746607;0.0000;
;626.40; 0.502321;2.711835;0.768358;1.943476;5.285024;1.497434;0.757518;0.0000;
;648.00; 0.506095;2.696714;0.751531;1.945183;5.185815;1.445203;0.748122;0.0000;
;669.60; 0.506809;2.650556;0.727094;1.923462;5.133363;1.408172;0.745038;0.0000;
;691.20; 0.502648;2.704682;0.773705;1.930977;5.192332;1.485326;0.741401;0.0000;
;712.80; 0.501954;2.786843;0.857691;1.929152;5.430758;1.671393;0.751873;0.0000;
;734.40; 0.506025;2.775747;0.840533;1.935214;5.417831;1.640590;0.755448;0.0000;
;756.00; 0.504262;2.773577;0.834589;1.938987;5.430361;1.634035;0.759265;0.0000;
;777.60; 0.505070;2.757861;0.824509;1.933352;5.416085;1.619229;0.759371;0.0000;
;799.20; 0.503826;2.740579;0.806271;1.934308;5.331377;1.568476;0.752580;0.0000;
;820.80; 0.503782;2.714343;0.786626;1.927717;5.300161;1.536005;0.752831;0.0000;
;842.40; 0.505929;2.704407;0.772068;1.932339;5.257824;1.501030;0.751359;0.0000;
;864.00; 0.507043;2.698257;0.759406;1.938851;5.253273;1.478498;0.754955;0.0000;
;885.60; 0.505433;2.677078;0.744179;1.932899;5.238179;1.456118;0.756412;0.0000;
;907.20; 0.506773;2.647872;0.728150;1.919721;5.160755;1.419180;0.748315;0.0000;
;928.80; 0.506895;2.629917;0.713753;1.916165;5.141796;1.395470;0.749265;0.0000;
;950.40; 0.504722;2.636126;0.719975;1.916151;5.146566;1.405623;0.748189;0.0000;
;972.00; 0.505939;2.656872;0.736220;1.920651;5.179986;1.435376;0.748922;0.0000;
;993.60; 0.509340;2.641822;0.726294;1.915528;5.100622;1.402272;0.739670;0.0000;
;1015.20; 0.509416;2.641139;0.718480;1.922658;5.127229;1.394782;0.746489;0.0000;
;1036.80; 0.509589;2.621459;0.705945;1.915514;5.088685;1.370356;0.743666;0.0000;
;1058.40; 0.507031;2.647018;0.722133;1.924885;5.164961;1.409053;0.751182;0.0000;
;1080.00; 0.505297;2.724207;0.795246;1.928962;5.313716;1.551170;0.752509;0.0000;
;1101.60; 0.507836;2.739814;0.805140;1.934674;5.333135;1.567230;0.753181;0.0000;
;1123.20; 0.508822;2.722656;0.792632;1.930023;5.325210;1.550300;0.754982;0.0000;
;1144.80; 0.511290;2.706966;0.781118;1.925847;5.266877;1.519803;0.749415;0.0000;
;1166.40; 0.509268;2.696829;0.770944;1.925885;5.249357;1.500636;0.749744;0.0000;
;1188.00; 0.508902;2.678325;0.760737;1.917588;5.207535;1.479120;0.745683;0.0000;
;1209.60; 0.510267;2.676820;0.756310;1.920510;5.193360;1.467335;0.745205;0.0000;
;1231.20; 0.510481;2.682487;0.758219;1.924267;5.213287;1.473564;0.747945;0.0000;
;1252.80; 0.511844;2.675371;0.750330;1.925041;5.169868;1.449933;0.743987;0.0000;
;1274.40; 0.511282;2.671460;0.742442;1.929018;5.178270;1.439125;0.747829;0.0000;
;1296.00; 0.510303;2.672833;0.737580;1.935253;5.192864;1.432994;0.751974;0.0000;
;1317.60; 0.511143;2.657390;0.726899;1.930491;5.161270;1.411807;0.749893;0.0000;
;1339.20; 0.511296;2.648351;0.716524;1.931826;5.129833;1.387902;0.748386;0.0000;
;1360.80; 0.510915;2.673818;0.731417;1.942402;5.146015;1.407680;0.747667;0.0000;
;1382.40; 0.512318;2.662268;0.726381;1.935887;5.171465;1.410998;0.752093;0.0000;
;1404.00; 0.512370;2.662742;0.720292;1.942450;5.156608;1.394901;0.752341;0.0000;
;1425.60; 0.511040;2.667298;0.723047;1.944251;5.137596;1.392692;0.748981;0.0000;
;1447.20; 0.511926;2.661609;0.716266;1.945343;5.162359;1.389244;0.754623;0.0000;
;1468.80; 0.511917;2.653255;0.709092;1.944163;5.119883;1.368307;0.750315;0.0000;
;1490.40; 0.514385;2.644646;0.702378;1.942269;5.096737;1.353615;0.748624;0.0000;
;1512.00; 0.513200;2.632185;0.693874;1.938311;5.105858;1.345963;0.751979;0.0000;
;1533.60; 0.513664;2.620627;0.686133;1.934494;5.067130;1.326677;0.748091;0.0000;
;1555.20; 0.513837;2.604161;0.676845;1.927316;5.034336;1.308469;0.745173;0.0000;
;1576.80; 0.515184;2.598568;0.670572;1.927997;5.009826;1.292807;0.743404;0.0000;
;1598.40; 0.516994;2.592962;0.664115;1.928847;4.990111;1.278079;0.742406;0.0000;
;1620.00; 0.518981;2.589638;0.659304;1.930334;4.943806;1.258659;0.737030;0.0000;
;1641.60; 0.517538;2.599715;0.665880;1.933835;4.927023;1.261988;0.733007;0.0000;
;1663.20; 0.516438;2.631075;0.691877;1.939198;5.053713;1.328943;0.744954;0.0000;
;1684.80; 0.516631;2.629448;0.694160;1.935288;5.037415;1.329850;0.741513;0.0000;
;1706.40; 0.517273;2.624800;0.687841;1.936959;4.998990;1.310008;0.737796;0.0000;
;1728.00; 0.517066;2.622044;0.683759;1.938285;5.044289;1.315415;0.745775;0.0000;
;1749.60; 0.518221;2.610379;0.677373;1.933006;5.019541;1.302532;0.743402;0.0000;
;1771.20; 0.517652;2.621631;0.681901;1.939729;5.010398;1.303233;0.741433;0.0000;
;1792.80; 0.517406;2.646093;0.703481;1.942612;5.070564;1.348043;0.744504;0.0000;
;1814.40; 0.518245;2.635606;0.696498;1.939108;5.067104;1.339057;0.745609;0.0000;
;1836.00; 0.518417;2.638137;0.696512;1.941626;5.068588;1.338191;0.746079;0.0000;
;1857.60; 0.517768;2.634536;0.691562;1.942975;5.038192;1.322517;0.743135;0.0000;
;1879.20; 0.518948;2.634647;0.689066;1.945581;5.024836;1.314196;0.742128;0.0000;
;1900.80; 0.519045;2.630486;0.690378;1.940108;5.040074;1.322781;0.743458;0.0000;
;1922.40; 0.519441;2.626910;0.685767;1.941144;5.009413;1.307730;0.740337;0.0000;
;1944.00; 0.518878;2.615941;0.680224;1.935717;5.007012;1.301975;0.741007;0.0000;
;1965.60; 0.520137;2.608177;0.674341;1.933836;4.983922;1.288587;0.739067;0.0000;
;1987.20; 0.519345;2.615888;0.678459;1.937429;5.009428;1.299249;0.742036;0.0000;
;2008.80; 0.519045;2.610573;0.674198;1.936375;5.011821;1.294337;0.743497;0.0000;
;2030.40; 0.517993;2.615687;0.676505;1.939182;5.016041;1.297318;0.743745;0.0000;
;2052.00; 0.519577;2.608802;0.671364;1.937437;4.989229;1.283958;0.741054;0.0000;
;2073.60; 0.519658;2.602172;0.665269;1.936903;4.980055;1.273196;0.741372;0.0000;
