Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;21.60; 0.557545;3.261581;0.997637;2.263944;2.959716;0.905304;0.513603;0.0000;
;43.20; 0.575131;2.842867;0.811171;2.031695;3.057923;0.872535;0.546347;0.0000;
;64.80; 0.532095;2.935754;0.952182;1.983572;3.643030;1.181579;0.615363;0.0000;
;86.40; 0.566350;2.849586;0.854326;1.995259;3.769447;1.130107;0.659835;0.0000;
;108.00; 0.573290;2.667224;0.721278;1.945946;3.749128;1.013849;0.683820;0.0000;
;129.60; 0.564603;2.521474;0.633520;1.887955;3.560992;0.894698;0.666573;0.0000;
;151.20; 0.553130;2.390030;0.553074;1.836956;3.711157;0.858794;0.713091;0.0000;
;172.80; 0.558205;2.352363;0.512833;1.839530;3.613650;0.787803;0.706462;0.0000;
;194.40; 0.555979;2.682049;0.774194;1.907855;4.463500;1.288424;0.793769;0.0000;
;216.00; 0.560087;2.809512;0.878886;1.930626;4.643166;1.452499;0.797667;0.0000;
;237.60; 0.552717;3.573703;1.559358;2.014345;5.907494;2.577689;0.832451;0.0000;
;259.20; 0.549099;4.326500;2.319943;2.006557;7.256205;3.890901;0.841326;0.0000;
;280.80; 0.547345;4.944374;2.956204;1.988170;8.078799;4.830253;0.812137;0.0000;
;302.40; 0.542666;5.482842;3.497252;1.985590;8.826289;5.629883;0.799101;0.0000;
;324.00; 0.535588;5.763576;3.786037;1.977540;9.675808;6.355943;0.829966;0.0000;
;345.60; 0.531422;5.994617;4.039351;1.955266;10.355720;6.977992;0.844432;0.0000;
;367.20; 0.527890;6.457566;4.450626;2.006940;11.127983;7.669529;0.864613;0.0000;
;388.80; 0.524555;7.186426;5.167994;2.018432;12.342305;8.875756;0.866637;0.0000;
;410.40; 0.523055;7.902109;5.881467;2.020642;13.881019;10.331515;0.887376;0.0000;
;432.00; 0.524399;8.742499;6.710619;2.031879;15.484215;11.885466;0.899687;0.0000;
;453.60; 0.518864;9.718309;7.681002;2.037308;17.100646;13.515735;0.896228;0.0000;
;475.20; 0.520545;10.513061;8.465794;2.047266;18.900259;15.219707;0.920138;0.0000;
;496.80; 0.515848;11.651736;9.586407;2.065329;20.607136;16.954418;0.913180;0.0000;
